idEntraineur , FirstName , LastName , dob ,idCountry , idEntraineurPost
143,Fabian,Adams,1982-07-14,47,4
144,Melodie,Bosco,1971-06-08,63,1
145,Stormy,Treutel,1978-04-13,2,1
146,Romona,Rice,1962-03-22,58,2
147,Johna,Hauck,1965-02-11,50,3
148,Wade,Marvin,1981-11-04,27,3
149,Arnoldo,Robel,1968-01-24,34,3
150,Olivia,Mertz,1977-10-19,11,2
151,Apryl,Monahan,1975-11-18,2,1
152,Nelly,Heidenreich,1955-11-06,56,2
153,Lorena,Rogahn,1975-08-03,18,5
154,Eleanore,Denesik,1975-01-04,60,2
155,Isadora,Ortiz,1977-04-04,51,2
156,Ola,Beier,1982-09-01,4,3
157,Velva,Windler,1956-01-30,2,1
158,Ed,Zboncak,1965-02-13,54,4
159,Carson,Veum,1958-05-07,41,1
160,Donte,Stark,1981-10-01,64,6
161,Brad,Sauer,1979-06-30,58,3
162,Ara,Gleichner,1955-05-04,35,5
163,Emilio,Treutel,1974-01-06,2,1
164,Elane,Runolfsson,1972-11-02,49,4
165,Chang,Lebsack,1982-01-21,36,1
166,Fred,Lakin,1965-12-28,5,6
167,Ingeborg,Jones,1958-01-27,25,5
168,Stacy,Strosin,1976-08-23,60,1
169,Mathew,Sporer,1956-03-06,2,1
170,Arturo,Ryan,1980-05-22,55,5
171,Guadalupe,White,1963-01-08,6,3
172,Dale,Howe,1959-09-15,71,3
173,Le,Okuneva,1974-10-27,24,4
174,Florine,Beer,1956-10-21,58,4
175,Zella,Ritchie,1976-11-22,2,1
176,Ty,O'Kon,1983-11-19,6,2
177,Len,Brown,1968-01-12,51,3
178,Justin,Von,1974-09-25,16,3
179,Ling,Braun,1967-01-11,47,1
180,Dario,Marvin,1964-04-20,39,3
181,Zachary,Borer,1973-03-14,2,1
182,Myrna,Mraz,1961-09-08,40,2
183,Birdie,Auer,1979-10-14,33,4
184,Tammi,Torp,1958-05-07,61,1
185,Cristi,Mann,1979-09-05,33,3
186,Claudio,Shanahan,1980-10-14,11,1
187,Lionel,Russel,1955-10-09,2,1
188,Lemuel,McCullough,1955-05-09,70,2
189,Lucinda,Ankunding,1958-02-18,71,5
190,Archie,O'Hara,1972-05-25,37,4
191,Brittney,Lang,1959-04-08,25,5
192,Jade,Koepp,1959-10-08,48,2
193,Olen,Bechtelar,1959-04-29,2,1
194,Claude,Cruickshank,1980-11-05,19,4
195,Joella,O'Keefe,1966-05-14,54,2
196,Kaila,Gleichner,1983-08-31,2,4
197,Alecia,Dickens,1970-11-26,31,2
198,Gayla,Cremin,1966-02-18,65,4
199,Emmanuel,Morissette,1966-02-22,2,1
200,Nelda,VonRueden,1960-08-10,37,6
201,Piper,Breitenberg,1955-04-12,43,2
202,Elton,Goyette,1955-02-11,22,2
203,Ariel,Bins,1960-08-02,62,5
204,Kimberly,Shields,1962-07-18,28,1
205,Eve,Padberg,1956-09-29,2,1
206,Edwina,Stanton,1979-04-05,14,3
207,Darryl,Barrows,1984-08-11,2,4
208,Olimpia,Hamill,1956-04-28,38,3
209,Antwan,Hilll,1970-07-24,7,5
210,Sheba,Conn,1968-02-04,37,3
211,Noah,Hayes,1964-02-08,2,1
212,Joshua,Heaney,1975-03-18,63,4
213,Ernie,Kerluke,1966-03-30,50,2
214,Taylor,Hessel,1975-01-06,53,5
215,Alpha,Monahan,1971-05-11,19,1
216,Harland,Hilpert,1966-08-08,16,1
217,Sanford,Mayer,1974-03-11,2,1
218,Craig,Schowalter,1957-11-18,17,3
219,Rosario,Gleason,1956-01-04,71,4
220,Glennis,Ferry,1967-06-24,35,5
221,Essie,Gottlieb,1962-01-29,12,2
222,Eddy,Medhurst,1970-09-06,19,4
223,Willis,Parker,1978-04-15,2,1
224,Blaine,Huel,1967-02-24,40,3
225,Corrina,Parisian,1981-03-08,48,6
226,Vaughn,Grant,1960-11-01,11,3
227,Valentin,Bruen,1961-07-30,13,3
228,Lynwood,Marks,1963-05-13,35,6
229,Devon,Schroeder,1955-05-02,2,1
230,Michal,Hamill,1954-01-28,66,3
231,Numbers,Ortiz,1964-11-28,26,5
232,Lenna,Bartell,1984-03-24,24,6
233,Rodrigo,Fritsch,1980-05-09,42,4
234,Wilfred,Barton,1959-08-23,38,2
235,Terisa,Anderson,1970-03-31,2,1
236,Chuck,Rempel,1965-05-05,50,3
237,Akilah,Gibson,1959-11-20,3,3
238,Joe,Homenick,1962-07-02,24,5
239,Veda,Goodwin,1984-03-24,38,3
240,Roman,Hammes,1957-10-22,71,5
241,Racquel,Schinner,1973-10-15,3,1
242,George,Trantow,1955-04-24,64,3
243,Carlton,Waelchi,1968-10-28,10,1
244,Steven,Lang,1973-01-08,52,6
245,Nichol,Deckow,1968-05-02,69,4
246,Troy,Lubowitz,1959-12-01,7,3
247,Katheleen,Beahan,1968-05-20,3,1
248,Donnie,Bruen,1966-04-14,64,5
249,Vernon,Gerhold,1955-02-06,63,2
250,Aurore,Cassin,1969-10-05,48,4
251,Daniel,Crooks,1972-06-14,32,2
252,Brandee,Armstrong,1971-12-15,35,6
253,Nathaniel,Bins,1958-09-06,3,1
254,Charisse,Upton,1967-09-27,52,4
255,Libbie,Nikolaus,1976-06-22,19,5
256,Carissa,Hartmann,1965-08-26,46,1
257,Clinton,Champlin,1973-12-20,63,5
258,Antony,Shanahan,1954-07-17,4,5
259,Darren,Klein,1967-01-04,3,1
260,Fumiko,Smitham,1963-08-15,52,4
261,Courtney,Rolfson,1982-03-22,69,2
262,Gayle,Grimes,1981-04-18,70,3
263,Felipe,Wunsch,1960-10-17,26,2
264,Celena,Rutherford,1982-12-22,42,5
265,Jasper,Mertz,1967-02-02,3,1
266,Ronnie,Toy,1959-03-06,34,5
267,Maryalice,Gutmann,1955-08-10,57,6
268,Loise,Homenick,1983-02-28,14,5
269,Val,Hackett,1954-06-17,2,4
270,Melanie,Nitzsche,1973-01-10,37,3
271,Billy,Gerlach,1974-01-03,3,1
272,Denita,Keebler,1965-12-29,5,4
273,Paola,Deckow,1968-01-05,61,2
274,Elbert,Rodriguez,1975-04-06,28,2
275,Felix,Macejkovic,1966-06-27,41,6
276,Lurline,Heaney,1966-06-28,43,3
277,Lazaro,Leannon,1978-04-23,3,1
278,Devora,Murray,1983-11-26,52,4
279,Eldridge,Hahn,1958-08-27,41,2
280,Son,Abbott,1965-12-04,44,4
281,Emmie,Ernser,1961-09-14,21,3
282,Freeda,Schmeler,1981-06-27,58,3
283,Anjelica,Harber,1962-08-10,3,1
284,Raul,Bosco,1971-03-19,29,4
285,Leona,Hills,1980-08-02,23,5
286,Bernie,Swaniawski,1969-09-04,21,2
287,Laticia,Yundt,1981-03-25,6,2
288,Ellis,Collier,1955-10-18,27,1
289,Lucrecia,Shields,1982-12-30,3,1
290,Jerold,Fay,1973-03-31,20,3
291,Tonya,Bauch,1955-09-12,64,5
292,Merlene,Rodriguez,1955-04-26,24,5
293,Jeremiah,Kunze,1964-04-17,14,2
294,Jane,Harris,1957-07-29,70,4
295,Sherwood,Balistreri,1969-11-29,3,1
296,Zelma,Wyman,1970-11-16,21,3
297,Lory,Hansen,1968-01-14,70,2
298,Alvin,Quitzon,1981-06-09,57,2
299,Clay,Braun,1958-10-17,10,6
300,Sha,Hermiston,1963-10-16,51,4
301,Hugo,Murazik,1970-07-05,3,1
302,Chadwick,Lind,1984-06-05,59,2
303,Omar,Mayert,1978-02-02,49,3
304,Giuseppe,Cruickshank,1960-10-09,41,5
305,Kendrick,Rogahn,1980-02-18,70,3
306,Neil,Jaskolski,1963-05-21,12,2
307,Deshawn,Halvorson,1969-08-15,3,1
308,Guillermo,Klein,1961-12-05,34,3
309,Elroy,Brown,1982-06-27,66,3
310,Theresia,Schaden,1980-01-05,4,3
311,Shelly,Feest,1968-11-22,3,3
312,Gerry,Pacocha,1954-11-02,55,2
313,Hilario,Konopelski,1966-02-14,3,1
314,Nam,Stehr,1954-04-20,4,2
315,Viviana,Braun,1972-05-18,61,2
316,Erick,Kuhic,1976-08-16,43,3
317,Carly,Rippin,1968-08-27,4,2
318,Maria,Tillman,1962-05-18,66,6
319,Ericka,Hegmann,1982-02-04,3,1
320,Lucien,Zemlak,1957-04-08,53,2
321,Lamont,Lehner,1970-03-12,45,6
322,Trinidad,Sawayn,1954-07-02,32,1
323,Carlotta,Walker,1961-01-12,27,3
324,Phillip,Pacocha,1968-07-09,53,1
325,Phoebe,Nikolaus,1960-12-27,3,1
326,Jeffrey,Fritsch,1955-12-19,48,6
327,Chung,Kerluke,1973-09-18,27,1
328,Jessica,Schamberger,1960-05-11,17,4
329,Loria,Waters,1979-04-21,69,5
330,Ellen,Pagac,1981-09-28,59,4
331,Blake,Marks,1965-02-12,3,1
332,Tyrell,Nitzsche,1978-01-29,10,2
333,Joanie,O'Hara,1976-10-07,57,3
334,Samira,Marquardt,1977-11-01,25,5
335,Solange,Dare,1969-12-21,24,1
336,Johana,Nienow,1963-06-16,25,3
337,Lyndon,Pfeffer,1959-03-03,3,1
338,Virgil,White,1977-04-11,52,4
339,Colin,Botsford,1960-09-11,46,2
340,Fabian,Collier,1963-02-21,9,5
341,Shelba,Ledner,1968-12-02,12,6
342,Kamilah,Nolan,1975-10-11,37,4
343,Jamie,Hills,1980-05-24,3,1
344,Lisandra,Kilback,1960-11-24,15,2
345,Valentin,Hoeger,1978-03-22,1,3
346,Stepanie,Mitchell,1972-10-10,60,1
347,Sara,Bauch,1968-02-15,21,2
348,Elizbeth,Beier,1976-10-20,21,6
349,Ross,Mills,1980-05-16,3,1
350,Tabatha,Parker,1980-11-06,49,1
351,Barb,Funk,1984-11-28,32,2
352,Tyson,Zboncak,1976-01-06,3,6
353,Denver,Runte,1978-03-31,48,1
354,Stacy,Bins,1959-08-23,54,4
355,Mirtha,Cronin,1955-01-05,3,1
356,Toya,Reichel,1984-11-21,40,2
357,Sergio,Cartwright,1975-05-05,62,4
358,Elvis,Gaylord,1964-04-26,25,5
359,Tasha,Altenwerth,1968-09-25,8,6
360,Deloras,Ward,1978-04-07,34,5
361,Mireille,Lang,1965-08-27,4,1
362,Emmanuel,Hermann,1982-05-04,27,5
363,Rhett,Buckridge,1982-12-11,16,2
364,Sierra,Reilly,1955-09-12,43,5
365,Laverne,Lueilwitz,1973-11-16,42,4
366,Jazmin,McDermott,1975-06-25,27,5
367,Alvin,Schoen,1970-06-10,4,1
368,Felipa,Heidenreich,1964-04-26,53,2
369,Laverne,Schumm,1958-01-01,4,3
370,Iris,Gulgowski,1954-02-25,47,4
371,Mitchell,Little,1964-11-07,54,4
372,Berneice,Hoppe,1958-10-03,23,6
373,Sunday,Connelly,1971-01-03,4,1
374,Ashanti,Barrows,1980-08-05,3,1
375,Tillie,Krajcik,1957-08-20,58,4
376,Morton,Kris,1973-09-12,65,2
377,Sherise,Lang,1971-01-31,30,3
378,Fanny,Murray,1981-02-17,41,4
379,Shenita,Wisoky,1979-02-16,4,1
380,Young,Kunze,1970-11-07,5,6
381,Rhoda,Jenkins,1964-10-13,62,4
382,Lyman,Breitenberg,1966-10-19,19,4
383,Laquanda,Willms,1962-11-18,3,4
384,Kerry,Jerde,1982-04-02,9,6
385,Yuette,Wunsch,1973-09-29,4,1
386,Dong,Jacobson,1972-06-27,71,2
387,Dino,Wuckert,1977-04-16,20,3
388,Luke,Daniel,1963-03-27,31,5
389,Nedra,Breitenberg,1975-02-03,11,5
390,Monserrate,Skiles,1957-12-02,28,4
391,Monica,Wiza,1963-08-22,4,1
392,Delores,Hahn,1953-12-29,66,3
393,Jerrell,Rutherford,1980-07-23,69,1
394,Ramiro,Marquardt,1961-06-01,15,5
395,Ahmed,Fahey,1982-09-30,9,4
396,Galen,Padberg,1973-11-06,10,2
397,Chas,Parisian,1968-09-10,4,1
398,Kori,Daugherty,1970-05-12,22,3
399,Hana,West,1965-06-25,53,2
400,Moises,Champlin,1957-02-04,44,4
401,Sherita,Huel,1971-03-07,54,5
402,Misti,Hodkiewicz,1982-02-09,10,5
403,Janeth,Beier,1956-08-01,4,1
404,Donnell,Streich,1956-01-18,63,1
405,Aurore,Upton,1958-12-25,62,3
406,Carlos,Howell,1978-06-08,16,2
407,Charley,Olson,1959-06-18,9,6
408,Miriam,Lehner,1956-01-23,29,5
409,Alex,Marquardt,1982-04-11,4,1
410,Winfred,Runte,1978-07-14,10,3
411,Douglass,Welch,1958-09-14,3,2
412,Jamaal,Bednar,1963-10-17,64,2
413,Fred,Bashirian,1963-02-15,59,2
414,Jone,Bergnaum,1971-05-14,72,4
415,Chadwick,Lehner,1976-04-10,4,1
416,Wesley,Farrell,1978-02-18,8,3
417,Tamala,Cronin,1962-01-05,32,3
418,Emanuel,Grant,1954-12-16,54,2
419,Domenic,Franecki,1966-05-10,11,4
420,Zoila,Casper,1963-08-22,58,4
421,Andrea,Harvey,1973-05-18,4,1
422,Kermit,Conn,1963-04-12,9,3
423,Deangelo,Pacocha,1974-01-07,6,3
424,Clyde,Kihn,1984-12-05,49,4
425,Florencio,Homenick,1979-04-22,59,5
426,Merlin,Bartoletti,1983-03-29,22,1
427,Wade,Glover,1962-08-17,4,1
428,Gerald,Murphy,1975-03-07,3,5
429,Eddy,Crona,1978-08-25,57,2
430,Guadalupe,McGlynn,1969-04-08,13,4
431,Rolland,Pollich,1974-05-16,46,4
432,Sylvester,O'Conner,1960-07-23,60,5
433,Abigail,Hintz,1975-07-09,4,1
434,Juli,Zboncak,1957-05-16,32,4
435,Jone,Dibbert,1978-03-12,66,5
436,Junko,Heller,1978-02-16,51,5
437,Dennis,Wolf,1976-10-09,41,4
438,Jaqueline,Powlowski,1960-09-16,18,5
439,Eddy,Luettgen,1956-07-04,4,1
440,Wilton,Klocko,1979-09-21,15,4
441,Elnora,D'Amore,1974-06-03,42,3
442,Keith,Stark,1964-04-28,39,1
443,Gregoria,Kuhn,1960-12-22,48,4
444,Jolie,Koepp,1983-03-05,64,3
445,Elvera,Botsford,1960-12-09,4,1
446,Adam,Schroeder,1982-04-01,1,2
447,Haydee,Hilpert,1979-10-17,29,3
448,Sylvester,Kovacek,1972-06-12,46,2
449,Sherlene,Mueller,1954-04-22,58,3
450,Marty,Swift,1956-11-13,5,6
451,Sharee,Schoen,1975-05-02,4,1
452,Frida,Kutch,1972-06-27,54,1
453,Sydney,Stroman,1977-05-14,52,3
454,Art,Ritchie,1979-12-04,21,3
455,Galen,Marquardt,1967-04-22,30,3
456,Juana,Runte,1957-03-31,5,5
457,Jade,Feil,1959-07-17,4,1
458,Elliott,Johns,1959-07-17,68,4
459,Antwan,McLaughlin,1958-03-13,53,3
460,Alton,Carroll,1966-04-11,26,5
461,Karri,Bogisich,1979-06-11,59,1
462,Kent,Satterfield,1963-02-04,39,5
463,Brendon,Bruen,1980-09-29,4,1
464,Ulrike,Satterfield,1961-12-26,54,4
465,Faviola,Rau,1973-07-01,48,4
466,Emory,Funk,1980-10-28,46,3
467,Emile,Heaney,1968-06-09,45,5
468,Terry,Frami,1977-05-17,69,2
469,Ahmed,Feeney,1955-08-10,4,1
470,Dane,Dicki,1966-05-18,54,1
471,Tameika,Harber,1968-04-18,54,5
472,Corinna,Krajcik,1972-03-07,37,5
473,Paul,Watsica,1979-05-13,1,4
474,Dorthey,Bartell,1960-07-25,18,6
475,Kamilah,Lueilwitz,1958-03-15,4,1
476,Barrett,Funk,1964-07-17,72,6
477,Saul,Kuphal,1982-06-09,52,1
478,Ashanti,Rippin,1957-04-14,56,1
479,Kermit,Smitham,1958-10-31,32,2
480,Bradly,Kovacek,1977-03-18,58,3
481,Georgeanna,Waters,1983-06-08,5,1
482,Dona,Steuber,1975-11-22,17,3
483,Tyree,Crist,1959-03-28,28,5
484,Ardis,Hand,1974-09-15,47,3
485,Ashton,Fadel,1982-11-25,57,6
486,Reuben,Strosin,1962-03-20,41,5
487,Jonah,Hyatt,1965-03-27,5,1
488,Melynda,Huels,1955-03-14,29,2
489,Ivette,Dach,1982-10-14,63,2
490,Andre,Anderson,1964-11-12,30,3
491,Tonie,Muller,1955-08-12,67,6
492,Wendell,Schuster,1958-05-05,33,5
493,Charita,Swift,1964-10-29,5,1
494,Nanci,Berge,1980-01-26,21,3
495,Gary,Hahn,1962-04-08,5,6
496,Deetta,Schoen,1957-01-17,17,3
497,Beckie,Hermann,1958-03-26,50,3
498,Etsuko,Lowe,1969-06-29,53,5
499,Monica,Schulist,1955-03-27,5,1
500,Donald,Reinger,1982-12-14,42,3
501,Ileen,Sauer,1975-05-10,7,3
502,Ernestina,Nienow,1959-08-09,35,4
503,Jamey,Cartwright,1976-05-14,56,2
504,Terri,Reichert,1955-02-06,60,6
505,Richie,Miller,1959-08-25,5,1
506,Earle,Heller,1955-12-14,8,3
507,Lezlie,Olson,1983-04-16,31,4
508,Deshawn,Quigley,1966-11-22,3,2
509,Omer,Auer,1967-01-22,18,4
510,Jacinto,Lockman,1963-04-25,7,6
511,Leonardo,Okuneva,1958-08-10,5,1
512,Sasha,Friesen,1966-02-19,68,4
513,Buford,Walker,1954-02-19,54,2
514,Trang,Cronin,1958-04-27,1,3
515,Wyatt,Hirthe,1965-10-26,68,4
516,Rusty,Okuneva,1956-07-22,27,5
517,Jerri,Ruecker,1967-12-27,5,1
518,Millard,Borer,1963-09-18,65,5
519,Bobette,Koepp,1978-09-20,45,2
520,Haydee,Schroeder,1963-03-15,59,5
521,Whitney,Jerde,1975-07-13,52,5
522,Branda,Kunze,1967-10-27,4,5
523,Debbra,Lowe,1983-08-08,5,1
524,Matthew,Lang,1960-12-22,8,4
525,Rayford,Rice,1978-05-31,40,5
526,Larue,Jenkins,1976-09-22,71,1
527,Leigha,Morar,1973-12-17,12,5
528,Albina,McCullough,1958-12-22,21,4
529,Virgil,Ledner,1984-03-16,5,1
530,Efrain,Jacobs,1982-03-26,72,6
531,Dion,Kutch,1980-11-05,49,6
532,Ciera,Doyle,1976-06-06,8,1
533,Providencia,Hackett,1969-02-25,67,5
534,Sunshine,Swift,1983-11-06,16,5
535,Queen,Ruecker,1981-10-24,5,1
536,Detra,Botsford,1955-06-02,63,4
537,Kareem,Shanahan,1977-04-06,6,2
538,Horacio,Haag,1971-08-25,15,5
539,Loralee,Stamm,1982-08-10,47,3
540,Chassidy,Zboncak,1971-03-16,60,6
541,Murray,Murazik,1962-01-15,5,1
542,Cicely,Jast,1961-08-15,58,4
543,Joycelyn,Rice,1984-11-26,36,4
544,Demarcus,Schroeder,1973-11-07,2,2
545,Milo,Ankunding,1966-11-20,2,3
546,Colette,Heidenreich,1961-07-12,59,6
547,Tim,Parker,1955-07-18,5,1
548,Milagros,Beer,1976-06-02,3,5
549,Thuy,Jaskolski,1975-08-23,20,2
550,Sydney,Kulas,1978-11-22,32,2
551,Rosetta,Reynolds,1967-04-21,70,4
552,Lesia,Hudson,1960-10-11,34,2
553,Moses,Jerde,1965-09-24,5,1
554,Almeda,Wisoky,1966-06-17,43,4
555,Vanessa,Harber,1979-01-26,26,1
556,Rickie,Willms,1959-01-15,39,1
557,Yer,Greenholt,1959-12-09,64,3
558,Tamica,McClure,1974-08-29,55,2
559,Erich,Collins,1971-01-29,5,1
560,Effie,King,1971-06-13,51,1
561,Tonita,Dickinson,1974-07-16,63,3
562,Leatrice,Kutch,1965-02-20,64,3
563,Creola,Larson,1955-05-29,71,4
564,Lee,Graham,1969-09-27,15,2
565,Charles,Rohan,1973-04-12,5,1
566,Pierre,Hammes,1966-10-08,38,4
567,Melina,Smitham,1974-01-11,11,3
568,Luis,Graham,1971-10-12,42,6
569,Nickie,Ledner,1955-02-07,3,3
570,Lynwood,Rohan,1961-10-21,20,2
571,Yu,Farrell,1968-05-28,5,1
572,Vickie,Bednar,1965-02-20,9,6
573,Lucas,Prohaska,1959-10-30,68,2
574,Perry,Sporer,1973-04-06,33,5
575,Marlena,Ryan,1981-11-07,25,3
576,Kamala,Weber,1965-02-04,29,1
577,Willa,Hermann,1954-06-25,5,1
578,Ed,Kreiger,1982-08-09,17,5
579,Doris,Leannon,1957-04-09,66,3
580,Merle,Jast,1976-11-29,12,2
581,Jean,Larkin,1982-10-02,50,1
582,Arnoldo,Marquardt,1970-01-23,12,3
583,Marcelino,Herzog,1957-01-01,5,1
584,Whitney,Lehner,1964-11-11,15,5
585,Tran,Armstrong,1980-01-14,40,5
586,Colby,Koch,1978-07-05,29,5
587,Kurtis,Schuppe,1974-06-08,64,6
588,Rosalva,Maggio,1973-06-19,58,4
589,Laurie,Bogan,1971-08-31,5,1
590,Eugene,DuBuque,1958-10-25,27,1
591,Temeka,Lockman,1983-08-26,66,4
592,Jackson,Lehner,1975-09-02,48,5
593,Viki,Morar,1963-04-30,56,6
594,Angela,Reichel,1968-01-08,18,5
595,Johnny,Littel,1978-09-27,5,1
596,Raymundo,Parisian,1971-12-21,41,1
597,Weldon,Murazik,1963-07-08,48,1
598,Giovanni,Hoppe,1961-02-03,40,3
599,Sarina,Wisozk,1973-04-19,25,5
600,Mikki,Conroy,1982-09-29,47,5
601,Marketta,Koss,1957-12-02,6,1
602,Harvey,Ratke,1959-11-30,42,6
603,Warren,Williamson,1978-01-29,6,3
604,Mallie,Jakubowski,1984-05-18,49,1
605,Ariel,Kessler,1960-10-10,13,1
606,Eldon,Johnston,1955-01-18,32,2
